,order_id,order_date,ship_date,ship_mode,customer_id
4878,US-2013-131891,2013-07-30,2013-08-01,First Class,PW-19240
4879,CA-2014-143567,2014-11-03,2014-11-06,Second Class,TB-21175
4883,CA-2014-104080,2014-03-09,2014-03-16,Standard Class,AH-10210
4885,CA-2011-151379,2011-12-16,2011-12-20,Standard Class,SC-20695
4886,CA-2013-163167,2013-11-29,2013-12-02,Second Class,RF-19345
4890,CA-2013-135776,2013-12-24,2013-12-31,Standard Class,EH-13765
4897,US-2011-122021,2011-10-15,2011-10-17,First Class,AC-10660
4899,CA-2013-130484,2013-08-23,2013-08-28,Standard Class,SG-20470
4900,CA-2014-120936,2014-12-18,2014-12-22,Standard Class,CA-12310
4902,CA-2014-110884,2014-03-08,2014-03-13,Standard Class,SH-20395
4904,US-2011-161613,2011-12-01,2011-12-03,Second Class,MC-17605
4905,US-2011-146353,2011-10-14,2011-10-16,Second Class,JE-15610
4907,CA-2011-133809,2011-11-18,2011-11-23,Second Class,MS-17530
4909,CA-2014-127306,2014-01-15,2014-01-19,Standard Class,BH-11710
4914,CA-2012-161830,2012-09-24,2012-09-26,Second Class,ME-17725
4916,CA-2014-163125,2014-10-10,2014-10-12,Second Class,MB-17305
4918,CA-2013-160304,2013-01-02,2013-01-07,Standard Class,BM-11575
4920,CA-2014-101728,2014-08-20,2014-08-24,Standard Class,SC-20575
4921,CA-2014-114055,2014-12-26,2014-12-30,Second Class,MH-18115
4925,CA-2014-126438,2014-09-11,2014-09-14,First Class,AR-10345
4926,CA-2014-117653,2014-10-20,2014-10-24,Standard Class,MO-17500
4927,CA-2014-143245,2014-12-02,2014-12-07,Standard Class,AD-10180
4929,US-2011-138828,2011-09-02,2011-09-03,First Class,KD-16345
4931,CA-2014-143651,2014-03-26,2014-03-31,Standard Class,FM-14215
4932,CA-2012-106978,2012-09-28,2012-10-04,Standard Class,ZC-21910
4935,CA-2012-155124,2012-03-15,2012-03-21,Standard Class,KS-16300
4936,CA-2014-150931,2014-01-07,2014-01-14,Standard Class,DP-13390
4937,CA-2011-157147,2011-01-14,2011-01-19,Standard Class,BD-11605
4940,CA-2012-156482,2012-02-06,2012-02-13,Standard Class,IL-15100
4943,CA-2014-106782,2014-12-22,2014-12-28,Standard Class,LP-17095
4944,CA-2013-151372,2013-09-06,2013-09-07,First Class,JH-15985
4947,CA-2011-102085,2011-10-04,2011-10-09,Standard Class,JD-16015
4948,CA-2014-107125,2014-11-28,2014-12-03,Standard Class,BD-11320
4950,CA-2013-125815,2013-10-29,2013-11-02,Second Class,DL-13330
4951,CA-2012-144190,2012-06-09,2012-06-13,Standard Class,NC-18415
4952,CA-2014-117926,2014-12-09,2014-12-13,Second Class,AS-10225
4953,CA-2012-153906,2012-03-16,2012-03-20,Standard Class,MS-17980
4954,CA-2011-160262,2011-06-09,2011-06-13,Second Class,TS-21205
4957,CA-2012-127607,2012-03-20,2012-03-26,Standard Class,JK-15730
4959,CA-2013-166226,2013-11-19,2013-11-23,Standard Class,TC-21535
4961,CA-2011-156587,2011-03-07,2011-03-08,First Class,AB-10015
4964,CA-2013-141180,2013-05-16,2013-05-20,Second Class,DP-13000
4965,CA-2012-109708,2012-05-25,2012-05-28,Second Class,CY-12745
4966,CA-2012-122406,2012-08-02,2012-08-05,Second Class,BE-11455
4970,US-2013-153815,2013-11-07,2013-11-10,First Class,KL-16555
4974,CA-2013-164896,2013-11-08,2013-11-13,Standard Class,PS-19045
4975,CA-2012-142202,2012-09-18,2012-09-23,Second Class,JR-16210
4976,CA-2012-165050,2012-12-07,2012-12-09,First Class,AH-10210
4979,US-2013-131114,2013-12-10,2013-12-14,Second Class,RW-19630
4982,CA-2011-160066,2011-11-16,2011-11-22,Standard Class,AH-10075
4983,CA-2013-109925,2013-11-07,2013-11-11,Second Class,IM-15070
4984,CA-2012-160696,2012-09-06,2012-09-10,Standard Class,CK-12760
4985,CA-2011-125171,2011-09-03,2011-09-03,Same Day,AG-10390
4986,CA-2013-149279,2013-04-25,2013-04-29,Standard Class,CL-12700
4989,CA-2014-107321,2014-09-01,2014-09-05,Standard Class,AW-10930
4991,US-2014-122714,2014-12-08,2014-12-14,Standard Class,HG-14965
4992,CA-2012-153038,2012-12-18,2012-12-25,Standard Class,RB-19645
4995,CA-2011-132227,2011-11-04,2011-11-10,Standard Class,SZ-20035
4996,CA-2014-155824,2014-03-11,2014-03-16,Standard Class,KS-16300
4998,CA-2013-129238,2013-01-31,2013-02-04,Standard Class,SC-20050
5000,CA-2014-159688,2014-05-08,2014-05-13,Standard Class,AB-10060
5001,CA-2013-136126,2013-05-25,2013-05-25,Same Day,EH-14125
5003,CA-2013-155033,2013-10-08,2013-10-13,Standard Class,CC-12475
5004,CA-2011-156006,2011-04-30,2011-05-02,Second Class,TM-21010
5005,CA-2012-158659,2012-11-10,2012-11-14,Second Class,SC-20695
5006,CA-2012-169796,2012-11-09,2012-11-14,Standard Class,Dp-13240
5008,CA-2012-102876,2012-09-07,2012-09-14,Standard Class,LR-17035
5011,US-2014-139647,2014-05-12,2014-05-14,First Class,TS-21370
5012,US-2014-160465,2014-07-22,2014-07-27,Standard Class,SW-20350
5015,CA-2011-153850,2011-11-24,2011-11-29,Standard Class,TH-21100
5017,CA-2011-127558,2011-11-15,2011-11-18,First Class,SS-20410
5020,CA-2014-136511,2014-03-24,2014-03-26,Second Class,MZ-17515
5021,CA-2013-133795,2013-12-19,2013-12-25,Standard Class,JE-15475
5024,US-2014-130953,2014-07-30,2014-08-04,Standard Class,RF-19735
5028,CA-2011-151792,2011-09-02,2011-09-07,Second Class,CV-12295
5029,CA-2014-139304,2014-01-30,2014-02-03,Standard Class,VG-21790
5032,CA-2013-155166,2013-12-27,2014-01-03,Standard Class,BB-11545
5034,CA-2012-103954,2012-08-09,2012-08-13,Second Class,HR-14770
5035,CA-2011-169803,2011-04-06,2011-04-12,Standard Class,SC-20260
5037,CA-2014-141719,2014-11-18,2014-11-22,Second Class,EG-13900
5038,CA-2012-136469,2012-07-11,2012-07-12,First Class,TS-21370
5041,CA-2013-158694,2013-11-11,2013-11-14,Second Class,AI-10855
5048,US-2011-104759,2011-03-31,2011-04-04,Standard Class,DD-13570
5050,CA-2012-150511,2012-09-18,2012-09-24,Standard Class,AB-10060
5051,CA-2012-134922,2012-11-07,2012-11-11,Standard Class,KB-16240
5052,US-2014-120607,2014-05-20,2014-05-20,Same Day,JC-15775
5053,CA-2012-141243,2012-01-03,2012-01-08,Second Class,AH-10465
5056,CA-2012-162166,2012-09-08,2012-09-11,First Class,NM-18520
5058,CA-2013-120796,2013-04-04,2013-04-08,Standard Class,CS-11950
5059,CA-2013-109722,2013-12-06,2013-12-08,Second Class,TP-21130
5061,CA-2012-136798,2012-05-08,2012-05-12,Standard Class,DL-12925
5064,CA-2014-122196,2014-09-23,2014-09-25,First Class,CA-12265
5065,CA-2014-142090,2014-12-01,2014-12-08,Standard Class,SC-20380
5067,CA-2014-160934,2014-01-16,2014-01-20,Standard Class,TT-21460
5068,CA-2011-124478,2011-08-08,2011-08-12,Standard Class,MA-17560
5073,CA-2012-145485,2012-11-05,2012-11-05,Same Day,JM-16195
5074,CA-2014-151071,2014-04-26,2014-04-30,Second Class,MB-18085
5075,CA-2011-134572,2011-04-20,2011-04-22,Second Class,SV-20365
5078,CA-2014-143217,2014-11-12,2014-11-18,Standard Class,CG-12040
5079,US-2014-133312,2014-11-26,2014-11-30,Standard Class,BD-11500
5081,US-2012-137533,2012-12-18,2012-12-18,Same Day,JK-15640
5082,CA-2013-155138,2013-09-09,2013-09-13,Standard Class,JM-15580
5084,CA-2013-108350,2013-06-07,2013-06-10,Second Class,SC-20230
5085,CA-2012-144302,2012-06-19,2012-06-23,Standard Class,ME-17320
5086,CA-2012-109001,2012-03-05,2012-03-09,Standard Class,KN-16390
5089,CA-2014-132738,2014-08-05,2014-08-08,First Class,HM-14860
5091,CA-2014-156720,2014-12-31,2015-01-04,Standard Class,JM-15580
5092,CA-2012-119102,2012-05-23,2012-05-27,Standard Class,KH-16690
5093,US-2011-140452,2011-12-06,2011-12-10,Standard Class,BK-11260
5099,CA-2012-141936,2012-08-07,2012-08-12,Standard Class,PN-18775
5100,CA-2011-158442,2011-03-17,2011-03-17,Same Day,AZ-10750
5103,CA-2012-167374,2012-03-26,2012-03-30,Second Class,GM-14500
5105,CA-2011-116568,2011-12-14,2011-12-20,Standard Class,BM-11785
5106,CA-2012-147102,2012-09-19,2012-09-26,Standard Class,NH-18610
5107,CA-2014-132213,2014-04-26,2014-04-27,First Class,PN-18775
5109,CA-2011-138450,2011-10-18,2011-10-22,Standard Class,EH-13765
5112,CA-2012-153073,2012-11-13,2012-11-13,Same Day,HA-14905
5113,CA-2013-147970,2013-01-31,2013-02-02,Second Class,AB-10150
5114,CA-2013-150658,2013-11-18,2013-11-23,Standard Class,MS-17365
5115,CA-2014-125640,2014-07-26,2014-07-30,Standard Class,DD-13570
5116,CA-2014-154137,2014-11-12,2014-11-18,Standard Class,MT-17815
5117,CA-2012-127173,2012-09-26,2012-10-03,Standard Class,GM-14500
5120,CA-2011-149538,2011-04-04,2011-04-08,Standard Class,KB-16585
5124,CA-2011-160766,2011-09-14,2011-09-14,Same Day,DM-13015
5131,CA-2014-146626,2014-12-30,2015-01-06,Standard Class,BP-11185
5132,CA-2012-123330,2012-06-21,2012-06-27,Standard Class,EP-13915
5133,CA-2014-155607,2014-11-27,2014-12-01,Standard Class,FG-14260
5135,CA-2013-151323,2013-10-24,2013-10-29,Standard Class,AB-10255
5136,CA-2012-146696,2012-12-14,2012-12-19,Standard Class,RD-19480
5137,CA-2013-128972,2013-11-14,2013-11-18,Standard Class,TS-21430
5138,CA-2014-128335,2014-09-30,2014-10-06,Standard Class,JA-15970
5140,CA-2012-154886,2012-11-08,2012-11-12,Standard Class,SW-20455
5141,CA-2013-111213,2013-04-02,2013-04-06,Standard Class,FP-14320
5144,CA-2014-161333,2014-02-03,2014-02-08,Standard Class,JL-15835
5147,CA-2014-128734,2014-12-25,2015-01-01,Standard Class,JL-15175
5149,CA-2011-141796,2011-06-21,2011-06-21,Same Day,JG-15160
5150,CA-2014-125101,2014-03-07,2014-03-11,Second Class,SH-19975
5151,CA-2014-169929,2014-09-26,2014-09-29,First Class,LS-17200
5152,US-2011-121566,2011-06-30,2011-07-06,Standard Class,CS-11860
5154,US-2012-124219,2012-08-07,2012-08-08,First Class,KW-16570
5156,CA-2014-163006,2014-07-01,2014-07-05,Second Class,GH-14410
5159,CA-2012-156146,2012-10-26,2012-10-30,Second Class,AG-10495
5161,CA-2011-111192,2011-07-30,2011-08-05,Standard Class,TS-21430
5162,CA-2013-115378,2013-11-19,2013-11-24,Second Class,AJ-10945
5163,CA-2012-161627,2012-07-06,2012-07-11,Standard Class,SJ-20215
5164,CA-2011-121006,2011-11-10,2011-11-16,Standard Class,SC-20020
5170,CA-2013-122903,2013-05-28,2013-05-30,Second Class,LA-16780
5173,CA-2012-107741,2012-03-08,2012-03-10,First Class,FC-14335
5174,CA-2014-106432,2014-10-20,2014-10-25,Standard Class,CA-12265
5176,CA-2013-148908,2013-11-06,2013-11-09,First Class,JH-15985
5177,CA-2013-123015,2013-12-27,2013-12-31,Standard Class,AJ-10795
5178,US-2012-120502,2012-04-13,2012-04-19,Standard Class,BT-11395
5181,CA-2014-108749,2014-09-13,2014-09-16,First Class,DJ-13510
5183,CA-2014-163335,2014-09-25,2014-09-28,First Class,AG-10675
5185,CA-2012-134719,2012-10-10,2012-10-15,Standard Class,JD-15790
5186,US-2012-154389,2012-11-27,2012-12-03,Standard Class,EH-14125
5187,CA-2012-115567,2012-09-13,2012-09-18,Standard Class,ZC-21910
5189,US-2014-136679,2014-11-15,2014-11-19,Standard Class,XP-21865
5191,US-2014-141943,2014-05-06,2014-05-10,Standard Class,DK-12985
5192,CA-2011-101560,2011-11-28,2011-12-01,Second Class,CS-12250
5196,CA-2011-159709,2011-05-10,2011-05-15,Standard Class,AI-10855
5198,CA-2013-103982,2013-03-04,2013-03-09,Standard Class,AA-10315
5202,CA-2012-142454,2012-08-15,2012-08-19,Standard Class,RE-19450
5204,CA-2012-102015,2012-09-12,2012-09-18,Standard Class,TM-21010
5210,CA-2012-156755,2012-01-12,2012-01-18,Standard Class,YS-21880
5211,CA-2012-130876,2012-05-12,2012-05-16,Second Class,AZ-10750
5212,CA-2013-145898,2013-09-27,2013-09-27,Same Day,CM-12445
5216,US-2014-159562,2014-09-10,2014-09-16,Standard Class,JB-16000
5217,CA-2014-134635,2014-04-16,2014-04-18,Second Class,NS-18640
5218,CA-2014-167080,2014-06-11,2014-06-15,Standard Class,LC-16930
5219,CA-2014-145653,2014-09-02,2014-09-02,Same Day,CA-12775
5220,CA-2011-140487,2011-06-14,2011-06-20,Standard Class,SR-20425
5221,CA-2014-117401,2014-05-19,2014-05-23,Second Class,PP-18955
5224,US-2014-109582,2014-09-13,2014-09-18,Second Class,JM-15865
5225,CA-2013-119865,2013-06-22,2013-06-27,Standard Class,AS-10090
5228,US-2011-147648,2011-11-26,2011-12-01,Standard Class,LS-16975
5229,CA-2014-124436,2014-03-20,2014-03-23,Second Class,SA-20830
5233,CA-2011-115084,2011-10-18,2011-10-22,Standard Class,LS-17200
5234,CA-2014-131037,2014-08-23,2014-08-24,First Class,TM-21490
5235,CA-2013-111143,2013-11-20,2013-11-23,First Class,TT-21265
5236,CA-2011-166744,2011-09-20,2011-09-24,Standard Class,DN-13690
5239,CA-2013-116561,2013-09-12,2013-09-18,Standard Class,EB-14110
5241,CA-2013-110730,2013-09-24,2013-09-27,Second Class,CM-11815
5242,CA-2014-146367,2014-08-05,2014-08-09,Standard Class,HM-14860
5243,CA-2013-149454,2013-07-26,2013-07-27,First Class,KM-16375
5244,CA-2013-156265,2013-08-03,2013-08-05,Second Class,BF-11020
5247,US-2012-168914,2012-05-21,2012-05-27,Standard Class,JE-15745
5248,US-2014-110989,2014-11-04,2014-11-06,Second Class,EJ-14155
5249,CA-2012-106215,2012-04-16,2012-04-21,Standard Class,BN-11470
5250,US-2013-169369,2013-12-13,2013-12-19,Standard Class,EC-14050
5252,CA-2012-132318,2012-10-30,2012-11-02,First Class,TT-21220
5253,US-2011-131982,2011-03-07,2011-03-11,Second Class,NP-18685
5254,CA-2012-125185,2012-03-05,2012-03-07,Second Class,AH-10195
5256,CA-2013-130078,2013-08-09,2013-08-15,Standard Class,CC-12145
5257,US-2014-114034,2014-01-04,2014-01-09,Standard Class,DL-13315
5258,US-2014-115595,2014-10-10,2014-10-12,First Class,XP-21865
5259,CA-2014-158722,2014-10-21,2014-10-27,Standard Class,MA-17560
5260,CA-2011-105165,2011-09-07,2011-09-10,First Class,SZ-20035
5265,CA-2014-147452,2014-10-01,2014-10-04,First Class,CS-11845
5268,US-2014-114657,2014-11-17,2014-11-22,Standard Class,MH-18115
5269,CA-2014-144484,2014-09-12,2014-09-12,Same Day,CB-12025
5271,CA-2014-125913,2014-01-17,2014-01-17,Same Day,JO-15145
5273,US-2013-158309,2013-11-27,2013-11-30,First Class,PA-19060
5274,CA-2012-162887,2012-11-07,2012-11-09,Second Class,SV-20785
5275,CA-2014-147333,2014-12-15,2014-12-21,Standard Class,KL-16555
5277,CA-2011-113859,2011-09-13,2011-09-17,Standard Class,BC-11125
5278,CA-2011-159681,2011-12-07,2011-12-13,Standard Class,PO-18850
5279,US-2014-104094,2014-09-08,2014-09-12,Standard Class,AG-10675
5280,CA-2014-152709,2014-10-08,2014-10-13,Standard Class,DB-13210
5281,CA-2012-105158,2012-09-05,2012-09-10,Standard Class,SP-20860
5283,CA-2011-133424,2011-03-30,2011-04-04,Standard Class,Dl-13600
5285,CA-2014-105991,2014-05-06,2014-05-07,First Class,LH-17020
5288,US-2014-136784,2014-05-01,2014-05-06,Standard Class,AD-10180
5289,CA-2011-146283,2011-09-08,2011-09-15,Standard Class,KT-16465
5292,CA-2014-151218,2014-06-21,2014-06-24,First Class,PJ-19015
5293,CA-2012-111073,2012-12-26,2012-12-30,Standard Class,MC-18100
5294,CA-2014-144883,2014-08-16,2014-08-20,Standard Class,BO-11350
5295,CA-2014-142174,2014-03-05,2014-03-10,Standard Class,DP-13000
5296,CA-2014-108791,2014-07-28,2014-08-01,Standard Class,TM-21490
5298,CA-2013-106656,2013-09-24,2013-09-27,First Class,DV-13045
5300,CA-2013-113831,2013-05-31,2013-06-04,Standard Class,AH-10690
5303,US-2011-139500,2011-11-16,2011-11-20,Standard Class,AB-10165
5304,US-2011-166310,2011-09-21,2011-09-23,First Class,JS-15940
5305,US-2013-168410,2013-02-21,2013-02-26,Standard Class,BV-11245
5308,CA-2014-131254,2014-11-20,2014-11-22,First Class,NC-18415
5311,CA-2013-123414,2013-08-22,2013-08-28,Standard Class,SU-20665
5313,CA-2014-137876,2014-05-01,2014-05-06,Standard Class,DJ-13510
5315,CA-2013-154060,2013-05-03,2013-05-09,Standard Class,DL-12865
5316,US-2014-162558,2014-10-03,2014-10-06,First Class,Dp-13240
5323,CA-2014-134439,2014-09-19,2014-09-24,Second Class,TM-21010
5324,CA-2012-119508,2012-12-04,2012-12-09,Standard Class,TZ-21580
5326,CA-2012-152681,2012-01-17,2012-01-22,Standard Class,SC-20260
5327,CA-2011-130813,2011-01-07,2011-01-09,Second Class,LS-17230
5328,CA-2012-120320,2012-03-05,2012-03-09,Standard Class,MV-18190
5329,CA-2013-111941,2013-12-26,2013-12-29,Second Class,BD-11620
5330,CA-2013-123120,2013-09-05,2013-09-09,Standard Class,CV-12295
5333,CA-2011-103331,2011-08-26,2011-09-01,Standard Class,KB-16315
5336,CA-2012-169278,2012-05-21,2012-05-25,Standard Class,ME-18010
5337,CA-2014-111577,2014-10-17,2014-10-22,Standard Class,AJ-10780
5338,CA-2012-146486,2012-11-09,2012-11-14,Second Class,DV-13465
5342,US-2011-168501,2011-11-21,2011-11-27,Standard Class,JK-15325
5344,CA-2012-112053,2012-10-11,2012-10-13,Second Class,SH-20395
5345,CA-2014-108539,2014-03-22,2014-03-24,Second Class,SC-20725
5348,CA-2012-149811,2012-01-04,2012-01-10,Standard Class,CS-12250
5350,US-2014-103814,2014-12-10,2014-12-17,Standard Class,LH-16900
5351,CA-2013-123932,2013-09-07,2013-09-13,Standard Class,YC-21895
5353,US-2013-101616,2013-09-04,2013-09-07,First Class,CY-12745
5354,CA-2011-113768,2011-05-13,2011-05-19,Standard Class,AH-10030
5356,CA-2013-138037,2013-09-30,2013-10-04,Standard Class,AR-10540
5357,CA-2011-150490,2011-08-05,2011-08-11,Standard Class,SS-20590
5360,US-2014-126060,2014-04-15,2014-04-19,Standard Class,DW-13585
5361,CA-2014-100951,2014-06-10,2014-06-11,First Class,NC-18625
5362,CA-2013-122014,2013-12-30,2014-01-03,Standard Class,CD-11920
5364,CA-2011-123477,2011-01-19,2011-01-22,Second Class,DW-13195
5365,CA-2013-107790,2013-11-21,2013-11-25,Standard Class,EH-13990
5366,CA-2014-158071,2014-06-11,2014-06-16,Standard Class,BD-11320
5369,CA-2014-147403,2014-09-11,2014-09-14,First Class,KH-16630
5370,US-2014-136721,2014-04-09,2014-04-13,Standard Class,NH-18610
5372,CA-2012-118738,2012-10-24,2012-10-30,Standard Class,AG-10495
5375,CA-2014-134152,2014-05-28,2014-06-01,Standard Class,RP-19855
5377,CA-2011-125542,2011-12-05,2011-12-07,First Class,NB-18655
5379,CA-2013-136021,2013-08-15,2013-08-19,Standard Class,JM-15580
5381,CA-2013-149195,2013-09-06,2013-09-08,Second Class,DM-13525
5384,CA-2014-161410,2014-06-27,2014-07-04,Standard Class,CC-12220
5386,CA-2014-152786,2014-03-13,2014-03-18,Standard Class,GA-14725
5387,CA-2014-164707,2014-02-19,2014-02-22,Second Class,CV-12805
5390,CA-2014-163874,2014-11-11,2014-11-13,Second Class,NC-18535
5391,US-2011-123183,2011-11-19,2011-11-25,Standard Class,GR-14560
5395,CA-2011-104829,2011-11-18,2011-11-21,Second Class,JG-15805
5396,US-2013-147340,2013-09-25,2013-09-25,Same Day,EB-13750
5397,CA-2013-145492,2013-11-21,2013-11-28,Standard Class,MC-17605
5398,CA-2013-163202,2013-09-28,2013-10-03,Standard Class,BM-11650
5399,CA-2013-117681,2013-04-10,2013-04-15,Standard Class,HF-14995
5400,CA-2014-132262,2014-09-22,2014-09-24,First Class,ML-18265
5402,CA-2014-123043,2014-08-25,2014-08-30,Standard Class,AH-10195
5404,US-2013-143280,2013-02-22,2013-02-26,Standard Class,TZ-21580
5407,CA-2014-108854,2014-12-09,2014-12-15,Standard Class,DM-13345
5411,CA-2014-166856,2014-09-19,2014-09-23,Standard Class,TS-21505
5413,CA-2013-153157,2013-09-12,2013-09-15,First Class,TB-21625
5414,US-2014-125647,2014-09-24,2014-09-29,Standard Class,LC-16870
5417,CA-2011-132542,2011-10-06,2011-10-08,Second Class,AM-10360
5418,CA-2012-110877,2012-10-23,2012-10-26,First Class,JE-15715
5420,US-2013-151827,2013-04-01,2013-04-03,Second Class,CS-11950
5422,US-2013-163258,2013-12-30,2014-01-03,Standard Class,PF-19225
5423,CA-2014-103009,2014-11-04,2014-11-06,Second Class,PJ-18835
5424,US-2014-120649,2014-01-21,2014-01-27,Standard Class,JF-15490
5425,CA-2013-153598,2013-12-04,2013-12-07,First Class,NM-18520
5427,US-2013-108497,2013-06-15,2013-06-15,Same Day,MH-17290
5428,CA-2013-113096,2013-09-03,2013-09-05,First Class,SZ-20035
5429,CA-2011-136861,2011-09-05,2011-09-07,First Class,PR-18880
5430,CA-2014-117422,2014-10-22,2014-10-26,Standard Class,FC-14245
5433,CA-2014-129707,2014-04-26,2014-04-30,Standard Class,LH-16750
5434,CA-2012-160171,2012-10-19,2012-10-24,Standard Class,RM-19675
5436,CA-2011-103317,2011-07-05,2011-07-08,First Class,DM-13525
5439,CA-2013-167115,2013-04-05,2013-04-10,Standard Class,EH-14185
5440,US-2014-153633,2014-11-14,2014-11-19,Second Class,TC-21295
5441,CA-2014-155929,2014-09-10,2014-09-14,Standard Class,AI-10855
5442,CA-2012-148712,2012-04-17,2012-04-23,Standard Class,JM-15535
5445,CA-2013-128307,2013-07-26,2013-07-30,Standard Class,BE-11335
5446,US-2013-127425,2013-08-27,2013-09-01,Standard Class,DR-12880
5448,US-2011-119081,2011-09-12,2011-09-19,Standard Class,TA-21385
5452,CA-2013-140613,2013-07-23,2013-07-30,Standard Class,KN-16705
5453,US-2014-108700,2014-05-20,2014-05-24,Standard Class,PJ-18835
5454,CA-2014-160962,2014-04-29,2014-05-03,Standard Class,MC-17605
5456,CA-2014-130631,2014-12-30,2015-01-03,Standard Class,BS-11755
5458,CA-2014-116680,2014-09-05,2014-09-07,Second Class,PK-19075
5460,US-2011-107405,2011-03-21,2011-03-25,Standard Class,TS-21205
5461,CA-2014-101574,2014-09-29,2014-10-05,Standard Class,BD-11725
5462,CA-2011-146591,2011-01-20,2011-01-21,First Class,TS-21340
5466,CA-2011-107706,2011-02-15,2011-02-20,Second Class,ST-20530
5467,CA-2013-122448,2013-06-10,2013-06-15,Standard Class,DB-13210
5468,CA-2011-132451,2011-09-26,2011-09-27,First Class,KF-16285
5470,CA-2013-158547,2013-05-31,2013-06-05,Standard Class,JM-16195
5471,CA-2014-116946,2014-12-20,2014-12-24,Standard Class,TS-21505
5474,CA-2014-121741,2014-12-27,2014-12-27,Same Day,YC-21895
5475,CA-2014-169691,2014-06-16,2014-06-19,First Class,Dp-13240
5478,CA-2013-121356,2013-11-21,2013-11-25,Standard Class,SJ-20500
5479,CA-2011-101770,2011-03-31,2011-04-04,Standard Class,KB-16240
5480,CA-2014-105487,2014-10-09,2014-10-15,Standard Class,CS-12250
5484,CA-2014-148999,2014-01-31,2014-02-05,Standard Class,EB-13870
5485,CA-2011-107573,2011-12-12,2011-12-17,Standard Class,PB-19150
5486,CA-2012-156608,2012-10-24,2012-10-29,Standard Class,MT-18070
5487,CA-2014-134495,2014-04-02,2014-04-05,Second Class,BF-11020
5491,CA-2014-164098,2014-01-27,2014-01-28,First Class,CG-12520
5492,CA-2011-105249,2011-11-28,2011-11-28,Same Day,DH-13675
5495,CA-2012-113523,2012-09-04,2012-09-08,Standard Class,SC-20440
5496,CA-2014-117821,2014-06-13,2014-06-17,Standard Class,HG-15025
5497,CA-2014-164378,2014-07-16,2014-07-19,Second Class,MM-18055
5502,CA-2014-127782,2014-11-03,2014-11-07,Standard Class,TH-21115
5506,US-2013-162026,2013-10-09,2013-10-09,Same Day,JE-15745
5507,CA-2013-150000,2013-04-09,2013-04-15,Standard Class,PG-18820
5508,CA-2012-168529,2012-10-08,2012-10-12,Standard Class,MB-17305
5509,US-2014-152569,2014-05-16,2014-05-21,Standard Class,JD-16015
5511,US-2011-137680,2011-02-25,2011-03-02,Standard Class,JH-15430
5513,CA-2012-103177,2012-05-30,2012-06-01,First Class,EN-13780
5516,US-2013-138408,2013-11-19,2013-11-22,Second Class,KC-16255
5517,CA-2014-117667,2014-12-05,2014-12-10,Standard Class,MS-17980
5522,CA-2013-110982,2013-06-06,2013-06-08,First Class,CK-12205
5524,CA-2013-147123,2013-12-11,2013-12-13,First Class,SJ-20125
5525,CA-2014-154501,2014-05-01,2014-05-06,Standard Class,EA-14035
5526,CA-2014-166933,2014-04-25,2014-04-29,Standard Class,MG-17890
5527,CA-2012-142055,2012-05-08,2012-05-10,First Class,AB-10255
5528,CA-2012-137106,2012-03-31,2012-04-04,Standard Class,SC-20260
5529,CA-2014-136609,2014-08-07,2014-08-12,Standard Class,TB-21355
5530,CA-2014-160885,2014-12-03,2014-12-07,Standard Class,JK-16090
5531,US-2013-167472,2013-06-07,2013-06-08,First Class,CK-12595
5538,CA-2012-120551,2012-04-13,2012-04-20,Standard Class,SS-20590
5539,US-2014-150595,2014-05-23,2014-05-27,Standard Class,LE-16810
5542,CA-2013-134936,2013-12-20,2013-12-26,Standard Class,ES-14080
5545,CA-2014-102967,2014-09-23,2014-09-27,Standard Class,MG-17890
5546,CA-2014-151008,2014-09-08,2014-09-09,First Class,JM-16195
5548,CA-2011-159800,2011-11-28,2011-12-01,First Class,SG-20470
5550,US-2011-159618,2011-11-12,2011-11-16,Standard Class,DB-12970
5555,CA-2014-116113,2014-10-03,2014-10-07,Second Class,JW-15220
5556,CA-2012-125066,2012-12-14,2012-12-18,Standard Class,KD-16495
5558,US-2012-114741,2012-12-06,2012-12-10,Standard Class,IL-15100
5561,CA-2014-133263,2014-04-01,2014-04-03,Second Class,JE-15610
5564,CA-2014-157966,2014-03-14,2014-03-14,Same Day,SU-20665
5571,CA-2011-151162,2011-12-05,2011-12-09,Standard Class,EA-14035
5576,CA-2013-136686,2013-12-13,2013-12-17,Standard Class,RF-19840
5578,CA-2014-137498,2014-09-10,2014-09-15,Second Class,LC-17050
5581,CA-2014-163818,2014-10-05,2014-10-09,Standard Class,PS-18970
5582,CA-2013-161158,2013-05-10,2013-05-14,Standard Class,PS-18970
5583,CA-2011-116673,2011-12-15,2011-12-19,Second Class,JO-15280
5584,CA-2014-105333,2014-12-01,2014-12-05,Standard Class,VP-21730
5587,CA-2012-149993,2012-03-19,2012-03-20,First Class,GA-14725
5588,CA-2011-168158,2011-07-19,2011-07-24,Standard Class,EM-14140
5589,CA-2013-115224,2013-12-09,2013-12-12,Second Class,DB-13615
5591,CA-2011-164742,2011-10-13,2011-10-18,Second Class,ML-17395
5593,US-2014-108014,2014-11-20,2014-11-26,Standard Class,JH-15430
5594,CA-2014-160325,2014-09-25,2014-09-25,Same Day,BP-11095
5596,CA-2012-159779,2012-09-25,2012-09-29,Standard Class,SB-20185
5597,CA-2014-151176,2014-02-14,2014-02-21,Standard Class,SV-20785
5599,CA-2011-108903,2011-10-03,2011-10-03,Same Day,DO-13435
